Date,Year,Quarter,Month,Weekday,DayOfYear,Revenue
2010-12-01,2010,4,12,2,335,35376.36
2010-12-02,2010,4,12,3,336,35914.33
2010-12-03,2010,4,12,4,337,19312.81
2010-12-04,2010,4,12,5,338,23912.995000000003
2010-12-05,2010,4,12,6,339,28513.18
2010-12-06,2010,4,12,0,340,26574.170000000002
2010-12-07,2010,4,12,1,341,22036.27
2010-12-08,2010,4,12,2,342,35163.32
2010-12-09,2010,4,12,3,343,29510.19
2010-12-10,2010,4,12,4,344,27108.47
2010-12-11,2010,4,12,5,345,21373.085
2010-12-12,2010,4,12,6,346,15637.7
2010-12-13,2010,4,12,0,347,25361.44
2010-12-14,2010,4,12,1,348,26760.33
2010-12-15,2010,4,12,2,349,26783.8
2010-12-16,2010,4,12,3,350,33491.17
2010-12-17,2010,4,12,4,351,17860.14
2010-12-18,2010,4,12,5,352,12165.664999999999
2010-12-19,2010,4,12,6,353,6471.19
2010-12-20,2010,4,12,0,354,17299.46
2010-12-21,2010,4,12,1,355,10672.460000000001
2010-12-22,2010,4,12,2,356,3938.44
2010-12-23,2010,4,12,3,357,5644.77
2010-12-24,2010,4,12,4,358,6106.501666666667
2010-12-25,2010,4,12,5,359,6568.233333333334
2010-12-26,2010,4,12,6,360,7029.965
2010-12-27,2010,4,12,0,361,7491.696666666667
2010-12-28,2010,4,12,1,362,7953.428333333333
2010-12-29,2010,4,12,2,363,8415.16
2010-12-30,2010,4,12,3,364,8876.891666666666
2010-12-31,2010,4,12,4,365,9338.623333333333
2011-01-01,2011,1,1,5,1,9800.355
2011-01-02,2011,1,1,6,2,10262.086666666666
2011-01-03,2011,1,1,0,3,10723.818333333333
2011-01-04,2011,1,1,1,4,11185.55
2011-01-05,2011,1,1,2,5,22899.57
2011-01-06,2011,1,1,3,6,28499.34
2011-01-07,2011,1,1,4,7,18853.65
2011-01-08,2011,1,1,5,8,16377.395
2011-01-09,2011,1,1,6,9,13901.14
2011-01-10,2011,1,1,0,10,14573.64
2011-01-11,2011,1,1,1,11,17230.85
2011-01-12,2011,1,1,2,12,15514.18
2011-01-13,2011,1,1,3,13,13723.86
2011-01-14,2011,1,1,4,14,18846.34
2011-01-15,2011,1,1,5,15,12506.01
2011-01-16,2011,1,1,6,16,6165.68
2011-01-17,2011,1,1,0,17,15368.34
2011-01-18,2011,1,1,1,18,9151.95
2011-01-19,2011,1,1,2,19,15352.12
2011-01-20,2011,1,1,3,20,13494.83
2011-01-21,2011,1,1,4,21,20971.45
2011-01-22,2011,1,1,5,22,15250.905
2011-01-23,2011,1,1,6,23,9530.36
2011-01-24,2011,1,1,0,24,17369.66
2011-01-25,2011,1,1,1,25,22012.52
2011-01-26,2011,1,1,2,26,15742.85
2011-01-27,2011,1,1,3,27,21580.09
2011-01-28,2011,1,1,4,28,15738.8
2011-01-29,2011,1,1,5,29,11140.494999999999
2011-01-30,2011,1,1,6,30,6542.1900000000005
2011-01-31,2011,1,1,0,31,16694.9
2011-02-01,2011,1,2,1,32,24531.88
2011-02-02,2011,1,2,2,33,16613.02
2011-02-03,2011,1,2,3,34,15821.7
2011-02-04,2011,1,2,4,35,14530.81
2011-02-05,2011,1,2,5,36,8984.955
2011-02-06,2011,1,2,6,37,3439.1
2011-02-07,2011,1,2,0,38,12033.1
2011-02-08,2011,1,2,1,39,12123.4
2011-02-09,2011,1,2,2,40,10423.85
2011-02-10,2011,1,2,3,41,12270.76
2011-02-11,2011,1,2,4,42,10935.72
2011-02-12,2011,1,2,5,43,8171.2
2011-02-13,2011,1,2,6,44,5406.68
2011-02-14,2011,1,2,0,45,14073.99
2011-02-15,2011,1,2,1,46,22811.54
2011-02-16,2011,1,2,2,47,21050.75
2011-02-17,2011,1,2,3,48,17350.71
2011-02-18,2011,1,2,4,49,12243.46
2011-02-19,2011,1,2,5,50,10577.619999999999
2011-02-20,2011,1,2,6,51,8911.78
2011-02-21,2011,1,2,0,52,22792.05
2011-02-22,2011,1,2,1,53,24388.25
2011-02-23,2011,1,2,2,54,16823.79
2011-02-24,2011,1,2,3,55,21144.83
2011-02-25,2011,1,2,4,56,16064.06
2011-02-26,2011,1,2,5,57,12617.935
2011-02-27,2011,1,2,6,58,9171.81
2011-02-28,2011,1,2,0,59,14515.84
2011-03-01,2011,1,3,1,60,19971.69
2011-03-02,2011,1,3,2,61,15976.08
2011-03-03,2011,1,3,3,62,18667.99
2011-03-04,2011,1,3,4,63,13681.98
2011-03-05,2011,1,3,5,64,11815.89
2011-03-06,2011,1,3,6,65,9949.8
2011-03-07,2011,1,3,0,66,15110.9
2011-03-08,2011,1,3,1,67,21546.13
2011-03-09,2011,1,3,2,68,16934.21
2011-03-10,2011,1,3,3,69,19096.77
2011-03-11,2011,1,3,4,70,14918.57
2011-03-12,2011,1,3,5,71,9517.325
2011-03-13,2011,1,3,6,72,4116.08
2011-03-14,2011,1,3,0,73,20324.47
2011-03-15,2011,1,3,1,74,13954.26
2011-03-16,2011,1,3,2,75,20132.75
2011-03-17,2011,1,3,3,76,17440.46
2011-03-18,2011,1,3,4,77,18052.21
2011-03-19,2011,1,3,5,78,17335.565000000002
2011-03-20,2011,1,3,6,79,16618.920000000002
2011-03-21,2011,1,3,0,80,15413.77
2011-03-22,2011,1,3,1,81,17691.24
2011-03-23,2011,1,3,2,82,17869.66
2011-03-24,2011,1,3,3,83,21733.72
2011-03-25,2011,1,3,4,84,16661.22
2011-03-26,2011,1,3,5,85,12646.225
2011-03-27,2011,1,3,6,86,8631.23
2011-03-28,2011,1,3,0,87,18188.79
2011-03-29,2011,1,3,1,88,26599.92
2011-03-30,2011,1,3,2,89,25365.73
2011-03-31,2011,1,3,3,90,21398.23
2011-04-01,2011,2,4,4,91,18783.94
2011-04-02,2011,2,4,5,92,12459.96
2011-04-03,2011,2,4,6,93,6135.98
2011-04-04,2011,2,4,0,94,20024.8
2011-04-05,2011,2,4,1,95,19282.69
2011-04-06,2011,2,4,2,96,12347.92
2011-04-07,2011,2,4,3,97,15186.59
2011-04-08,2011,2,4,4,98,19425.05
2011-04-09,2011,2,4,5,99,14382.5
2011-04-10,2011,2,4,6,100,9339.95
2011-04-11,2011,2,4,0,101,18917.28
2011-04-12,2011,2,4,1,102,22527.24
2011-04-13,2011,2,4,2,103,19705.31
2011-04-14,2011,2,4,3,104,31834.65
2011-04-15,2011,2,4,4,105,16787.55
2011-04-16,2011,2,4,5,106,14529.105
2011-04-17,2011,2,4,6,107,12270.66
2011-04-18,2011,2,4,0,108,18521.72
2011-04-19,2011,2,4,1,109,17591.09
2011-04-20,2011,2,4,2,110,18476.1
2011-04-21,2011,2,4,3,111,25309.54
2011-04-22,2011,2,4,4,112,23880.29
2011-04-23,2011,2,4,5,113,22451.04
2011-04-24,2011,2,4,6,114,21021.79
2011-04-25,2011,2,4,0,115,19592.54
2011-04-26,2011,2,4,1,116,18163.29
2011-04-27,2011,2,4,2,117,18419.920000000002
2011-04-28,2011,2,4,3,118,20075.920000000002
2011-04-29,2011,2,4,4,119,15703.176666666666
2011-04-30,2011,2,4,5,120,11330.433333333332
2011-05-01,2011,2,5,6,121,6957.69
2011-05-02,2011,2,5,0,122,12129.135000000002
2011-05-03,2011,2,5,1,123,17300.58
2011-05-04,2011,2,5,2,124,22788.3
2011-05-05,2011,2,5,3,125,22248.67
2011-05-06,2011,2,5,4,126,24093.47
2011-05-07,2011,2,5,5,127,21100.25
2011-05-08,2011,2,5,6,128,18107.03
2011-05-09,2011,2,5,0,129,17744.36
2011-05-10,2011,2,5,1,130,26788.48
2011-05-11,2011,2,5,2,131,28176.92
2011-05-12,2011,2,5,3,132,42132.24
2011-05-13,2011,2,5,4,133,23205.8
2011-05-14,2011,2,5,5,134,16434.765
2011-05-15,2011,2,5,6,135,9663.73
2011-05-16,2011,2,5,0,136,25440.78
2011-05-17,2011,2,5,1,137,27612.15
2011-05-18,2011,2,5,2,138,28064.2
2011-05-19,2011,2,5,3,139,30377.12
2011-05-20,2011,2,5,4,140,20792.6
2011-05-21,2011,2,5,5,141,21197.29
2011-05-22,2011,2,5,6,142,21601.98
2011-05-23,2011,2,5,0,143,21959.43
2011-05-24,2011,2,5,1,144,18966.65
2011-05-25,2011,2,5,2,145,18150.11
2011-05-26,2011,2,5,3,146,18682.56
2011-05-27,2011,2,5,4,147,16531.64
2011-05-28,2011,2,5,5,148,11376.515
2011-05-29,2011,2,5,6,149,6221.39
2011-05-30,2011,2,5,0,150,10328.505000000001
2011-05-31,2011,2,5,1,151,14435.62
2011-06-01,2011,2,6,2,152,11603.79
2011-06-02,2011,2,6,3,153,23757.62
2011-06-03,2011,2,6,4,154,12311.49
2011-06-04,2011,2,6,5,155,17875.16
2011-06-05,2011,2,6,6,156,23438.83
2011-06-06,2011,2,6,0,157,16267.84
2011-06-07,2011,2,6,1,158,22014.34
2011-06-08,2011,2,6,2,159,28655.89
2011-06-09,2011,2,6,3,160,25492.0
2011-06-10,2011,2,6,4,161,16034.0
2011-06-11,2011,2,6,5,162,13649.39
2011-06-12,2011,2,6,6,163,11264.78
2011-06-13,2011,2,6,0,164,17886.27
2011-06-14,2011,2,6,1,165,15936.0
2011-06-15,2011,2,6,2,166,29210.11
2011-06-16,2011,2,6,3,167,23714.4
2011-06-17,2011,2,6,4,168,16275.68
2011-06-18,2011,2,6,5,169,18192.73
2011-06-19,2011,2,6,6,170,20109.78
2011-06-20,2011,2,6,0,171,20030.58
2011-06-21,2011,2,6,1,172,18186.55
2011-06-22,2011,2,6,2,173,17654.68
2011-06-23,2011,2,6,3,174,22004.39
2011-06-24,2011,2,6,4,175,15260.86
2011-06-25,2011,2,6,5,176,11145.19
2011-06-26,2011,2,6,6,177,7029.52
2011-06-27,2011,2,6,0,178,11819.51
2011-06-28,2011,2,6,1,179,20908.7
2011-06-29,2011,2,6,2,180,11426.66
2011-06-30,2011,2,6,3,181,21000.48
2011-07-01,2011,3,7,4,182,11265.81
2011-07-02,2011,3,7,5,183,8492.86
2011-07-03,2011,3,7,6,184,5719.91
2011-07-04,2011,3,7,0,185,12692.78
